Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",2111252,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"After Hours","The Weeknd",1308218,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
3,"Intentions (feat. Quavo)","Justin Bieber",1239437,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,"Blinding Lights","The Weeknd",1202688,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,"Life Is Good (feat. Drake)",Future,1199533,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
6,"Blueberry Faygo","Lil Mosey",1109463,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,ROXANNE,"Arizona Zervas",969689,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,"High Fashion (feat. Mustard)","Roddy Ricch",943328,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
9,"Don't Start Now","Dua Lipa",924190,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,Circles,"Post Malone",866134,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,Falling,"Trevor Daniel",851429,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"Say So","Doja Cat",837508,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"No Time To Die","Billie Eilish",798325,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
14,"WHATS POPPIN","Jack Harlow",789133,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
15,"everything i wanted","Billie Eilish",787933,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
16,"Dance Monkey","Tones and I",779012,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,"Adore You","Harry Styles",749670,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
18,"Godzilla (feat. Juice WRLD)",Eminem,742645,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
19,Suicidal,"YNW Melly",733951,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
20,BOP,DaBaby,718206,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
21,"Ballin' (with Roddy Ricch)",Mustard,685522,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
22,"Forever (feat. Post Malone & Clever)","Justin Bieber",683844,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
23,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",672088,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
24,"Moral of the Story",Ashe,605419,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
25,"Sunday Best",Surfaces,598318,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,"You should be sad",Halsey,588145,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
27,"OUT WEST (feat. Young Thug)",JACKBOYS,586161,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
28,SUGAR,BROCKHAMPTON,580360,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
29,"Someone You Loved","Lewis Capaldi",579252,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,577161,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
31,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",570258,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
32,Woah,"Lil Baby",569335,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
33,ON,BTS,567247,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
34,"My Oh My (feat. DaBaby)","Camila Cabello",567142,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
35,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",548861,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
36,Yummy,"Justin Bieber",544424,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
37,"hot girl bummer",blackbear,532917,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
38,"ON (Feat. Sia)",BTS,511796,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
39,"To Die For","Sam Smith",509779,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
