Position,Track_Name,Artist,Streams,URL,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,Toosie Slide,Drake,1592641,127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,247059
2,ROCKSTAR (feat. Roddy Ricch),DaBaby,1487099,7ytR5pFWmSjzHJIeQkgog4,0.746,0.702,-7.977,0.147,0.265,0,0.0979,0.43,90.029,181733
3,Blueberry Faygo,Lil Mosey,1328035,22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,162547
4,Blinding Lights,The Weeknd,1300167,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,200040
5,The Box,Roddy Ricch,1277332,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,196653
6,#NAME?,Playboi Carti,1008317,5UusfWUMMLEXLMc1ViNZoe,0.876,0.492,-8.11,0.153,0.0136,0.000283,0.0678,0.4,151.044,166799
7,FIND MY WAY,DaBaby,936228,1gVCEnryJhkdQcuC0Kbvor,0.834,0.628,-6.788,0.191,0.145,0,0.14,0.669,103.008,139890
8,Roses - Imanbek Remix,SAINt JHN,891519,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,-5.484,0.0495,0.0167,0.0105,0.353,0.898,121.974,176840
9,WHATS POPPIN,Jack Harlow,873002,1jaTQ3nqY3oAAYyCTbIvnM,0.923,0.604,-6.671,0.245,0.017,0,0.272,0.826,145.062,139741
10,Say So,Doja Cat,815618,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.577,0.158,0.256,3.57E-06,0.0904,0.786,110.962,237893
11,Don't Start Now,Dua Lipa,795357,3PfIrDoz19wz7qK7tYeu62,0.794,0.793,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,183290
