Position,"Track Name",Artist,Streams,URL
1,"THE SCOTTS","THE SCOTTS",2338202,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
2,Righteous,"Juice WRLD",1384742,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
3,"Toosie Slide",Drake,1270790,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
4,"Blueberry Faygo","Lil Mosey",1269095,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1254681,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"Blinding Lights","The Weeknd",1221924,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"The Box","Roddy Ricch",1164381,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Roses - Imanbek Remix","SAINt JHN",931246,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,"WHATS POPPIN","Jack Harlow",898520,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
10,"Say So","Doja Cat",862717,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
11,goosebumps,"Travis Scott",843461,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
12,"SICKO MODE","Travis Scott",761466,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
13,Savage,"Megan Thee Stallion",756628,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
14,"HIGHEST IN THE ROOM","Travis Scott",735218,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
15,"Don't Start Now","Dua Lipa",710976,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
16,Circles,"Post Malone",692270,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",690663,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
18,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,679119,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,"Sunday Best",Surfaces,658010,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
20,"Intentions (feat. Quavo)","Justin Bieber",653448,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,"Life Is Good (feat. Drake)",Future,644853,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
22,ROXANNE,"Arizona Zervas",592547,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
23,Supalonely,BENEE,589451,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
24,"Adore You","Harry Styles",583002,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
25,Falling,"Trevor Daniel",578341,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
26,"High Fashion (feat. Mustard)","Roddy Ricch",570751,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
27,P2,"Lil Uzi Vert",558987,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
28,"After Party","Don Toliver",540392,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
29,"Turks (feat. Travis Scott)",NAV,520809,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
30,Myron,"Lil Uzi Vert",506038,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
31,"Ballin' (with Roddy Ricch)",Mustard,494143,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
32,PTSD,"G Herbo",490144,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
33,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",477077,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
34,"Someone You Loved","Lewis Capaldi",468355,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"Lucid Dreams","Juice WRLD",464276,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
36,"FIND MY WAY",DaBaby,463925,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
37,"hot girl bummer",blackbear,461870,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
38,"Boss Bitch","Doja Cat",461716,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
39,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",458661,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
40,"Dance Monkey","Tones And I",451919,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
41,"In Your Eyes","The Weeknd",451533,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
42,"Godzilla (feat. Juice WRLD)",Eminem,448727,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
